CompanyCode,DocumentNumber,Transaction_ID,PostingDate,DocumentType,GLAccount,VendorID,CostCenter,Department,Amount,Currency,Description,Status,ConversionRate_USD,Amount_USD,Outlier_Detected
US02,5100026040,PJ126040B,15-03-2019,RV,150300,VND_GEN_5,CC_IT_829,IT,462127.36,USD,CapEx - Servers ref 33282,Pending,1,462127.36,TRUE
US02,5100034174,TR134174B,23-02-2021,KR,150200,VND_GEN_4,CC_PRC_429,IT,462037.85,USD,CapEx - Lab gear ref 11235,Posted,1,462037.85,TRUE
US02,5100060055,TR160055B,29-07-2022,SA,150200,VND_GEN_5,CC_SAL_430,IT,458417.75,USD,CapEx - Servers ref 44823,Posted,1,458417.75,TRUE
US02,5100008784,PM108784X,28-09-2020,SA,150200,VND_GEN_5,CC_FIN_240,IT,456583.6,USD,CapEx - Lab gear ref 68336,Posted,1,456583.6,TRUE
US02,5100065469,TXN165469A,13-03-2019,SA,150100,VND_PROC_A,CC_SAL_144,Procurement,452980.02,USD,CapEx - MRI equipment ref 59049,Posted,1,452980.02,TRUE
PH01,5100036351,PJ136351B,05-09-2023,KA,400100,VND_SALES_C,CC_PRC_985,Sales,354303.65,GBP,Invoice 6509 - Hospital Group A services,Reversed,1.25,442879.5625,TRUE
PH01,5100041682,PM141682A,14-04-2023,KR,400100,VND_GEN_4,CC_FIN_409,Operations,354129.36,GBP,Invoice 4625 - City Labs services,Posted,1.25,442661.69999999995,TRUE
US02,5100007694,JV107694,20-07-2020,KR,150300,VND_GEN_3,CC_FIN_993,IT,437909.18,USD,CapEx - MRI equipment ref 22581,Posted,1,437909.18,TRUE
US02,5100005946,PM105946B,31-12-2022,KR,150100,VND_GEN_5,CC_PRC_268,IT,436861.12,USD,CapEx - Vehicle ref 57551,Posted,1,436861.12,TRUE
US02,5100023352,TXN123352A,14-10-2021,KR,150100,VND_GEN_1,CC_FIN_655,IT,435289,USD,CapEx - Lab gear ref 63144,Pending,1,435289,TRUE
US02,5100009467,JV109467,31-05-2020,SA,150200,VND_GEN_2,CC_IT_364,IT,431613.56,USD,CapEx - Servers ref 25308,Posted,1,431613.56,TRUE
US02,5100046978,JV146978X,07-04-2021,RV,150100,VND_GEN_2,CC_SAL_639,IT,427602.29,USD,CapEx - Vehicle ref 59911,Posted,1,427602.29,TRUE
US02,5100038554,TR138554,22-05-2019,RV,150300,VND_GEN_2,CC_OPS_466,IT,427204.94,USD,CapEx - Lab gear ref 51287,Posted,1,427204.94,TRUE
PH01,5100059689,TR159689,25-08-2019,SA,420500,VND_SALES_A,CC_PRC_642,Sales,340917.13,GBP,Invoice 4983 - City Labs services,Posted,1.25,426146.4125,TRUE
PH01,5100069864,TXN169864,21-05-2021,KR,150100,VND_GEN_1,CC_SAL_148,IT,379601.75,EUR,CapEx - Vehicle ref 70635,Posted,1.1,417561.92500000005,TRUE
PH01,5100056826,JV156826X,26-08-2021,SA,150100,VND_GEN_4,CC_PRC_759,IT,374260.23,EUR,CapEx - Vehicle ref 54490,Posted,1.1,411686.253,TRUE
US02,5100045736,JV145736B,25-11-2020,SA,400100,VND_SALES_B,CC_OPS_280,Sales,408638.75,USD,Invoice 3202 - Wellness Co services,Posted,1,408638.75,TRUE
US02,5100066928,TR166928X,15-03-2019,RV,400200,VND_SALES_D,CC_OPS_937,Sales,395878.97,USD,Invoice 4075 - ClinicPlus services,Posted,1,395878.97,TRUE
US02,5100005036,PJ105036A,18-08-2022,KA,150100,VND_PROC_B,CC_PRC_510,Procurement,395318.65,USD,CapEx - Vehicle ref 16396,Posted,1,395318.65,TRUE
PH01,5100003950,PM103950B,07-02-2022,KR,200100,VND_GEN_3,CC_FIN_420,Operations,315749.76,GBP,NO_DESCRIPTION,Posted,1.25,394687.2,TRUE
PH01,5100024427,TXN124427A,28-03-2022,SA,410000,VND_SALES_D,CC_PRC_130,Sales,315066.72,GBP,Invoice 9539 - HealthLine Partners services,Posted,1.25,393833.39999999997,TRUE
PH01,5100063812,PM163812A,23-10-2020,KR,150300,VND_GEN_2,CC_SAL_364,IT,355509.51,EUR,CapEx - Servers ref 88703,Posted,1.1,391060.46100000007,TRUE
PH01,5100014178,TXN114178A,15-03-2019,KR,410000,VND_SALES_B,CC_OPS_947,Sales,304286.49,GBP,Invoice 5435 - Hospital Group A services,Posted,1.25,380358.1125,TRUE
US02,5100027728,JV127728X,19-11-2019,SA,150300,VND_PROC_A,CC_IT_740,Procurement,380005.35,USD,CapEx - MRI equipment ref 53972,Posted,1,380005.35,TRUE
PH01,5100057239,TR157239,28-03-2021,KA,150100,VND_GEN_1,CC_OPS_450,IT,303876.03,GBP,CapEx - MRI equipment ref 12719,Posted,1.25,379845.03750000003,TRUE
US02,5100054568,PJ154568A,24-11-2023,SA,150100,VND_PROC_A,CC_SAL_106,Procurement,377906.49,USD,CapEx - Vehicle ref 97331,Posted,1,377906.49,TRUE
PH01,5100061070,TXN161070A,16-08-2021,SA,150100,VND_GEN_4,CC_FIN_374,IT,299950.25,GBP,CapEx - Lab gear ref 23323,Posted,1.25,374937.8125,TRUE
PH01,5100063535,TR163535A,30-12-2022,SA,150100,VND_PROC_B,CC_PRC_508,Procurement,297241.91,GBP,CapEx - MRI equipment ref 45614,Posted,1.25,371552.38749999995,TRUE
US02,5100004195,TXN104195A,06-12-2021,KR,150200,VND_GEN_4,CC_OPS_449,IT,368725.66,USD,CapEx - Lab gear ref 95523,Posted,1,368725.66,TRUE
IN03,5100055691,PM155691,31-03-2023,AB,150100,VND_GEN_2,CC_IT_213,Operations,29225397.93,INR,CapEx - Servers ref 23408,Posted,0.0125,365317.4741,TRUE
US02,5100012375,JV112375,06-11-2020,KR,150300,VND_GEN_2,CC_FIN_525,IT,361226.06,USD,CapEx - Servers ref 48708,Posted,1,361226.06,TRUE
US02,5100011479,PM111479,27-05-2019,SA,150100,VND_PROC_B,CC_PRC_733,Procurement,359921.67,USD,CapEx - Vehicle ref 98475,Pending,1,359921.67,TRUE
PH01,5100009065,PM109065X,03-05-2019,SA,400200,VND_SALES_A,CC_FIN_797,Sales,326837.77,EUR,Invoice 6667 - City Labs services,Posted,1.1,359521.547,TRUE
US02,5100034178,PJ134178X,30-03-2023,KR,150200,VND_PROC_B,CC_PRC_573,Procurement,358455.06,USD,CapEx - Servers ref 37294,Posted,1,358455.06,TRUE
PH01,5100022561,JV122561B,31-03-2022,SA,420500,VND_SALES_D,CC_FIN_668,Sales,285987.23,GBP,Invoice 9393 - Metro Health services,Posted,1.25,357484.0375,TRUE
IN03,5100000350,TXN100350A,29-12-2021,KA,150200,VND_GEN_4,CC_FIN_998,IT,28541034.75,INR,CapEx - Vehicle ref 22010,Posted,0.0125,356762.9344,TRUE
IN03,5100027156,PJ127156X,12-09-2023,KR,150200,VND_GEN_2,CC_FIN_823,IT,28513085.65,INR,CapEx - MRI equipment ref 59937,Posted,0.0125,356413.5706,TRUE
PH01,5100050568,JV150568B,26-06-2020,KR,420500,VND_GEN_2,CC_IT_664,Operations,284019.38,GBP,Invoice 9054 - Metro Health services,Posted,1.25,355024.225,TRUE
US02,5100061433,PM161433A,04-01-2021,KR,150200,VND_PROC_B,CC_OPS_336,Procurement,352725.32,USD,CapEx - Servers ref 63146,Posted,1,352725.32,TRUE
PH01,5100008242,TR108242B,25-10-2019,RV,420500,VND_SALES_A,CC_IT_555,Sales,282010.37,GBP,Invoice 4049 - ClinicPlus services,Posted,1.25,352512.9625,TRUE
IN03,5100051707,TXN151707B,27-01-2021,RV,400200,VND_SALES_D,CC_OPS_395,Sales,28079777.06,INR,Invoice 9470 - Wellness Co services,Pending,0.0125,350997.21325000003,TRUE
US02,5100050972,TXN150972B,01-04-2019,KR,150300,VND_GEN_1,CC_PRC_599,IT,350712.96,USD,CapEx - Lab gear ref 51680,Posted,1,350712.96,TRUE
PH01,5100043223,JV143223B,28-06-2021,SA,420500,VND_SALES_A,CC_FIN_808,Sales,317400.72,EUR,Invoice 6950 - HealthLine Partners services,Posted,1.1,349140.792,TRUE
PH01,5100025485,PM125485A,28-08-2022,RV,400100,VND_SALES_C,CC_SAL_787,Sales,276371.98,GBP,Invoice 9023 - Wellness Co services,Posted,1.25,345464.975,TRUE
PH01,5100053844,JV153844,28-09-2023,AB,400200,VND_SALES_C,CC_FIN_343,Sales,276026.82,GBP,Invoice 8145 - Hospital Group A services,Posted,1.25,345033.525,TRUE
PH01,5100050256,PJ150256A,18-11-2022,SA,420500,VND_SALES_C,CC_OPS_855,Sales,312418.51,EUR,Invoice 2309 - Wellness Co services,Pending,1.1,343660.36100000003,TRUE
PH01,5100007048,JV107048,07-08-2020,KA,400100,VND_SALES_C,CC_PRC_588,Sales,312193.9,EUR,Invoice 2612 - City Labs services,Posted,1.1,343413.29000000004,TRUE
PH01,5100006988,TR106988,18-04-2023,KR,150100,VND_GEN_2,CC_OPS_334,IT,312091.88,EUR,CapEx - Servers ref6 9180,Posted,1.1,343301.068,TRUE
PH01,5100003216,TXN103216B,08-02-2021,KR,400200,VND_SALES_B,CC_PRC_913,Sales,274397.96,GBP,Invoice 8806 - City Labs services,Posted,1.25,342997.45,TRUE
IN03,5100029176,TR129176X,18-10-2023,KA,410000,VND_SALES_B,CC_FIN_204,Sales,27218483.73,INR,Invoice 9424 - HealthLine Partners services,Posted,0.0125,340231.0466,TRUE
US02,5100021343,TXN121343A,05-01-2021,SA,150100,VND_GEN_1,CC_OPS_467,IT,339414.4,USD,CapEx - Lab gear ref 5987,Posted,1,339414.4,TRUE
PH01,5100054622,PM154622A,30-09-2021,SA,150300,VND_GEN_4,CC_IT_418,IT,306489.88,EUR,CapEx - Servers ref 58021,Posted,1.1,337138.868,TRUE
PH01,5100045923,JV145923X,03-10-2022,KR,600100,VND_PROC_C,CC_PRC_866,Procurement,268796.7,GBP,Vertex Systems inv#79992 - training,Posted,1.25,335995.875,TRUE
IN03,5100007526,PM107526X,26-09-2022,RV,410000,VND_GEN_5,CC_PRC_510,Finance,26871296.01,INR,Invoice 6724 - Metro Health services,Pending,0.0125,335891.20012500003,TRUE
PH01,5100005828,PM105828,10-06-2020,SA,410000,VND_SALES_D,CC_SAL_108,Sales,266736.21,GBP,Invoice 7288 - Hospital Group A services,Pending,1.25,333420.2625,TRUE
US02,5100018341,PM118341A,28-03-2023,KA,400200,VND_SALES_D,CC_FIN_309,Sales,331294.06,USD,Invoice 9274 - Metro Health services,Posted,1,331294.06,TRUE
US02,5100067194,PJ167194X,11-06-2019,KR,420500,VND_SALES_A,CC_PRC_640,Sales,330292.15,USD,Invoice 4879 - ClinicPlus services,Posted,1,330292.15,TRUE
PH01,5100001489,TXN101489,28-06-2023,KR,400200,VND_SALES_B,CC_FIN_220,Sales,263230.75,GBP,Invoice 1530 - Hospital Group A services,Pending,1.25,329038.4375,TRUE
US02,5100038334,PJ138334,03-08-2023,AB,150100,VND_GEN_4,CC_PRC_434,Operations,328892.48,USD,CapEx - Lab gear ref 79692,Pending,1,328892.48,TRUE
SG04,5100067983,TR167983,06-12-2019,KA,410000,VND_SALES_C,CC_PRC_910,Sales,438829.56,SGD,Invoice 9630 - Wellness Co services,Pending,0.74,324733.8744,TRUE
PH01,5100065978,TXN165978,28-02-2020,KR,420500,VND_SALES_A,CC_PRC_793,Sales,294775.08,EUR,Invoice 5195 - City Labs services,Posted,1.1,324252.58800000005,TRUE
PH01,5100016986,PM116986B,14-05-2021,KR,400200,VND_SALES_D,CC_OPS_768,Sales,258649.48,GBP,Invoice 7831 - HealthLine Partners services,Posted,1.25,323311.85000000003,TRUE
PH01,5100021342,TXN121342X,28-06-2021,KA,400200,VND_SALES_C,CC_IT_129,Sales,285974.93,EUR,Invoice 6675 - City Labs services,Posted,1.1,314572.423,TRUE
PH01,5100021244,PJ121244A,28-10-2022,AB,400200,VND_SALES_A,CC_IT_896,Sales,251528.38,GBP,Invoice 1928 - Hospital Group A services,Posted,1.25,314410.475,TRUE
IN03,5100031043,PM131043A,12-02-2020,SA,420500,VND_SALES_D,CC_IT_290,Sales,24933631.52,INR,Invoice 3411 - City Labs services,Posted,0.0125,311670.39400000003,TRUE
PH01,5100022179,PM122179A,24-05-2019,KR,400200,VND_SALES_A,CC_IT_938,Sales,248164.05,GBP,Invoice 6524 - HealthLine Partners services,Posted,1.25,310205.0625,TRUE
IN03,5100026082,PM126082X,24-11-2020,AB,150200,VND_GEN_2,CC_IT_296,IT,24612036.82,INR,CapEx - Vehicle ref 36558,Posted,0.0125,307650.4603,TRUE
IN03,5100007129,TR107129A,15-09-2021,SA,150200,VND_GEN_5,CC_PRC_693,IT,24516766.64,INR,CapEx - Lab gear ref 8318,Posted,0.0125,306459.58300000004,TRUE
US02,5100005567,PJ105567B,10-01-2023,KR,400200,VND_SALES_C,CC_OPS_856,Sales,306093.5,USD,Invoice 2007 - Hospital Group A services,Posted,1,306093.5,TRUE
IN03,5100027465,PM127465,06-07-2023,SA,420500,VND_SALES_D,CC_PRC_661,Sales,24414323.32,INR,Invoice 2877 - HealthLine Partners services,Pending,0.0125,305179.0415,TRUE
PH01,5100039714,TXN139714,27-11-2020,KR,410000,VND_SALES_C,CC_IT_457,Sales,276403.38,EUR,Invoice 1615 - Wellness Co services,Posted,1.1,304043.71800000005,TRUE
PH01,5100034466,TR134466X,22-07-2019,KR,400200,VND_SALES_D,CC_OPS_423,Sales,242944.22,GBP,Invoice 1266 - ClinicPlus services,Posted,1.25,303680.275,TRUE
US02,5100059613,PJ159613A,05-10-2023,KA,400100,VND_SALES_C,CC_PRC_839,Sales,303047.87,USD,Invoice 8393 - ClinicPlus services,Posted,1,303047.87,TRUE
PH01,5100032372,PM132372A,05-10-2021,SA,620300,VND_GEN_3,CC_FIN_539,IT,241871.98,GBP,Sigma Labs inv#60292 - consulting,Posted,1.25,302339.97500000003,TRUE
PH01,5100041227,PJ141227A,26-10-2022,AB,150300,VND_GEN_2,CC_PRC_742,IT,272792.53,EUR,CapEx - MRI equipment ref 66854,Pending,1.1,300071.78300000005,TRUE
PH01,5100032275,JV132275A,15-04-2022,SA,410000,VND_SALES_A,CC_FIN_862,Sales,240055.63,GBP,Invoice 6299 - ClinicPlus services,Posted,1.25,300069.5375,TRUE
IN03,5100050413,TXN150413,07-08-2020,KR,420500,VND_SALES_D,CC_FIN_557,Sales,23947266,INR,Invoice 7278 - ClinicPlus services,Posted,0.0125,299340.825,TRUE
PH01,5100016497,JV116497,08-01-2020,AB,150200,VND_GEN_5,CC_OPS_262,IT,272061.33,EUR,CapEx - Servers ref 74603,Posted,1.1,299267.46300000005,TRUE
US02,5100016065,JV116065B,15-07-2020,KR,400100,VND_SALES_B,CC_FIN_426,Sales,297335.74,USD,Invoice 5799 - City Labs services,Posted,1,297335.74,TRUE
US02,5100003296,JV103296A,22-05-2023,SA,400100,VND_SALES_B,CC_SAL_736,Sales,295816.21,USD,Invoice 6529 - Hospital Group A services,Posted,1,295816.21,TRUE
IN03,5100009315,TR109315X,31-12-2021,SA,400100,VND_SALES_B,CC_PRC_497,Sales,23652932.28,INR,Invoice 3298 - Wellness Co services,Posted,0.0125,295661.6535,TRUE
PH01,5100056544,TR156544B,09-01-2019,SA,400200,VND_SALES_C,CC_OPS_343,Sales,267992.48,EUR,Invoice 6308 - Metro Health services,Posted,1.1,294791.728,TRUE
IN03,5100012674,TXN112674A,17-07-2020,KA,150300,VND_PROC_C,CC_FIN_128,Procurement,23359064.88,INR,CapEx - Lab gear ref 30627,Posted,0.0125,291988.311,TRUE
PH01,5100051529,TXN151529,30-01-2020,KR,150200,VND_GEN_1,CC_PRC_104,IT,232594.24,GBP,CapEx - Servers ref 41936,Pending,1.25,290742.8,TRUE
US02,5100019477,TXN119477,13-09-2019,KR,410000,VND_SALES_A,CC_PRC_631,Sales,288133.52,USD,Invoice 7898 - Hosptial Group A services,Reversed,1,288133.52,TRUE
IN03,5100017170,PJ117170A,30-11-2020,KR,410000,VND_SALES_A,CC_FIN_170,Sales,23047473.37,INR,Invoice 1057 - HealthLine Partners services,Posted,0.0125,288093.41712500004,TRUE
PH01,5100058979,TR158979X,28-05-2022,KR,410000,VND_SALES_A,CC_OPS_654,Sales,230029.1,GBP,Invoice 5254 - ClinicPlus services,Pending,1.25,287536.375,TRUE
PH01,5100019057,JV119057X,25-09-2019,KA,400100,VND_SALES_D,CC_OPS_912,Sales,229502.67,GBP,Invoice 4064 - HealthLine Partners services,Pending,1.25,286878.3375,TRUE
US02,5100035789,PM135789,30-11-2019,SA,150200,VND_GEN_5,CC_OPS_104,IT,284977.53,USD,CapEx - Servers ref 99035,Posted,1,284977.53,TRUE
PH01,5100063475,TR163475X,25-09-2021,KR,400100,VND_SALES_A,CC_IT_198,Sales,258064.6,EUR,Invoice 1712 - Metro Health services,Posted,1.1,283871.06000000006,TRUE
IN03,5100008034,TR108034,27-04-2023,SA,400200,VND_SALES_D,CC_OPS_236,Sales,22650318.29,INR,Invoice 5269 - Wellness Co services,Posted,0.0125,283128.9786,TRUE
PH01,5100026897,PJ126897X,13-06-2022,SA,400200,VND_SALES_A,CC_PRC_500,Sales,257001.46,EUR,Invoice 8913 - Hospital Group A services,Posted,1.1,282701.606,TRUE
PH01,5100048158,JV148158,29-07-2022,KA,400100,VND_SALES_C,CC_PRC_640,Sales,224607.2,GBP,Invoice 9778 - Wellness Co services,Posted,1.25,280759,TRUE
IN03,5100069632,PM169632B,05-07-2021,KA,410000,VND_SALES_A,CC_PRC_495,Sales,22343265.55,INR,Invoice 6279 - Hospital Group A services,Posted,0.0125,279290.8194,TRUE
US02,5100052522,PM152522X,28-06-2021,RV,400100,VND_SALES_D,CC_IT_256,Sales,276224.9,USD,Invoice 9641 - Wellness Co services,Posted,1,276224.9,TRUE
US02,5100063080,TR163080A,13-10-2020,KA,150100,VND_GEN_5,CC_PRC_690,Operations,276208.08,USD,NO_DESCRIPTION,Posted,1,276208.08,TRUE
IN03,5100023293,TR123293B,11-07-2019,RV,400100,VND_SALES_C,CC_SAL_664,Sales,22055719.81,INR,Invoice 6484 - Hospital Group A services,Posted,0.0125,275696.4976,TRUE
US02,5100056213,TXN156213A,28-01-2019,AB,400100,VND_SALES_D,CC_SAL_996,Sales,274930.78,USD,Invoice 7963 - ClinicPlus services,Posted,1,274930.78,TRUE
PH01,5100067321,PM167321,30-06-2021,KR,400200,VND_SALES_D,CC_FIN_908,Sales,219883.91,GBP, Invoice 4067 - ClinicPlus services,Posted,1.25,274854.8875,TRUE
PH01,5100058385,JV158385B,25-10-2023,SA,420500,VND_SALES_D,CC_OPS_415,Sales,219610.08,GBP,Invoice 4518 - Wellness Co services,Pending,1.25,274512.6,TRUE
US02,5100012397,JV112397X,28-09-2021,RV,400100,VND_SALES_B,CC_SAL_312,Sales,273908.49,USD,Invoice 1571 - City Labs services,Pending,1,273908.49,TRUE
IN03,5100051695,PM151695A,25-05-2019,KR,150300,VND_GEN_3,CC_FIN_348,Operations,21885079.51,INR,CapEx - Vehicle ref 26577,Posted,0.0125,273563.49387500004,TRUE
US02,5100015837,PJ115837B,29-03-2021,KR,150200,VND_PROC_B,CC_FIN_963,Procurement,272973.16,USD,CapEx - MRI equipment ref 52370,Pending,1,272973.16,TRUE
US02,5100068158,PM168158A,09-10-2019,SA,400100,VND_SALES_C,CC_FIN_404,Sales,272950.6,USD,Invoice 8240 - HealthLine Partners services,Posted,1,272950.6,TRUE
US02,5100053482,TR153482B,28-06-2023,RV,150100,VND_GEN_5,CC_FIN_151,IT,272709.72,USD,CapEx - Vehicle ref 15115,Posted,1,272709.72,TRUE
US02,5100060206,TXN160206,25-11-2019,RV,410000,VND_GEN_2,CC_OPS_695,Finance,272327.76,USD,Invoice 8056 - ClinicPlus services,Posted,1,272327.76,TRUE
US02,5100003659,TXN103659A,14-01-2022,RV,150200,VND_GEN_5,CC_IT_636,IT,271511.8,USD,CapEx - Lab gear ref 73762,Posted,1,271511.8,TRUE
US02,5100010092,PJ110092,06-10-2023,SA,150300,VND_GEN_3,CC_IT_133,Operations,270157.06,USD,CapEx - Servers ref 23139,Posted,1,270157.06,TRUE
PH01,5100005441,PJ105441,28-06-2022,SA,420500,VND_GEN_5,CC_FIN_421,Finance,215122.82,GBP,Invoice 5795 - HealthLine Partners services,Posted,1.25,268903.525,TRUE
US02,5100023160,TXN123160A,10-09-2020,KR,420500,VND_SALES_D,CC_IT_660,Sales,266761.47,USD,Invoice 9117 - Metro Health services,Reversed,1,266761.47,TRUE
US02,5100056668,PJ156668A,24-04-2020,KA,400100,VND_SALES_D,CC_SAL_775,Sales,266298.39,USD,Invoice 7106 - HealthLine Partners services,Posted,1,266298.39,TRUE
US02,5100065407,PM165407X,19-02-2019,SA,150200,VND_GEN_1,CC_SAL_701,IT,265566.18,USD,CapEx - Lab gear ref 59058,Posted,1,265566.18,TRUE
US02,5100032804,TR132804,29-05-2020,KR,150300,VND_GEN_1,CC_FIN_374,IT,265237.85,USD,CapEx - Vehicle ref 78398,Pending,1,265237.85,TRUE
IN03,5100054040,TR154040,28-04-2022,SA,150200,VND_GEN_3,CC_PRC_278,IT,21218048.43,INR,CapEx - Servers ref 74475,Posted,0.0125,265225.6054,TRUE
US02,5100036362,TXN136362X,14-07-2022,KA,150200,VND_GEN_5,CC_FIN_357,IT,264267.02,USD,CapEx - Vehicle ref 87398,Posted,1,264267.02,TRUE
PH01,5100026607,JV126607,20-03-2019,KA,410000,VND_SALES_A,CC_IT_907,Sales,239202.84,EUR,Invoice 9972 - Hospital Group A services,Posted,1.1,263123.124,TRUE
PH01,5100038223,PM138223X,28-06-2020,KR,400100,VND_SALES_B,CC_PRC_886,Sales,238088.79,EUR,Invoice 5751 - HealthLine Partners services,Posted,1.1,261897.66900000002,TRUE
IN03,5100036940,JV136940X,25-08-2020,SA,400200,VND_SALES_B,CC_OPS_493,Sales,20916171.85,INR,Invoice 7617 - Hospital Group A services,Posted,0.0125,261452.14812500004,TRUE
US02,5100023321,TXN123321,11-01-2021,SA,150200,VND_GEN_3,CC_PRC_251,IT,261446.52,USD,CapEx - Lab gear ref 15179,Posted,1,261446.52,TRUE
IN03,5100045808,TR145808,30-11-2019,SA,150200,VND_GEN_5,CC_FIN_526,Operations,20802461.97,INR,CapEx - Vehicle ref 60640,Posted,0.0125,260030.7746,TRUE
PH01,5100024476,JV124476,06-07-2022,KR,400200,VND_SALES_C,CC_PRC_136,Sales,235506.8,EUR,Invoice 7752 - ClinicPlus services,Posted,1.1,259057.48,TRUE
PH01,5100001343,TR101343A,20-12-2023,SA,150100,VND_GEN_1,CC_SAL_313,IT,206297.12,GBP,CapEx - Lab gear ref 93908,Posted,1.25,257871.4,TRUE
PH01,5100032881,TXN132881X,22-03-2019,KR,400100,VND_SALES_C,CC_SAL_575,Sales,232705.21,EUR,Invoice 2202 - Hospital Group A services,Posted,1.1,255975.731,TRUE
US02,5100015951,TR115951B,16-09-2022,KR,200200,VND_GEN_4,CC_OPS_726,Operations,255776.73,USD,Accrual posting - month end ref 6260,Posted,1,255776.73,TRUE
IN03,5100066588,PM166588X,26-08-2022,KA,420500,VND_SALES_B,CC_SAL_254,Sales,20397878.43,INR,Invoice 5672 - Wellness Co services,Posted,0.0125,254973.4804,TRUE
US02,5100011473,PM111473A,14-07-2023,KA,400100,VND_SALES_B,CC_SAL_557,Sales,253857.07,USD,Invoice 5083 - Metro Health services,Posted,1,253857.07,TRUE
PH01,5100038431,TR138431A,09-05-2019,KR,410000,VND_SALES_C,CC_IT_332,Sales,202484.21,GBP,Invoice 8923 - City Labs services,Posted,1.25,253105.26249999998,TRUE
US02,5100045433,JV145433,03-12-2020,AB,400100,VND_SALES_D,CC_FIN_870,Sales,251810.6,USD,Invoice 7352 - Hospital Group A services,Pending,1,251810.6,TRUE
IN03,5100007020,JV107020A,31-08-2021,AB,420500,VND_SALES_C,CC_OPS_233,Sales,19985685.47,INR,Invoice 4494 - ClinicPlus services,Posted,0.0125,249821.0684,TRUE
US02,5100018247,JV118247X,14-12-2020,KR,400200,VND_SALES_A,CC_PRC_686,Sales,249551.28,USD,Invoice 9299 - City Labs services,Posted,1,249551.28,TRUE
PH01,5100000388,PJ100388X,15-03-2019,KR,200100,VND_GEN_2,CC_FIN_486,Finance,199217.24,GBP,Accrual posting - month end ref 3995,Posted,1.25,249021.55,TRUE
US02,5100002460,TR102460X,19-09-2022,SA,420500,VND_SALES_B,CC_OPS_855,Sales,248873.86,USD,Invoice 5823 - City Labs services,Posted,1,248873.86,TRUE
IN03,5100032222,JV132222A,24-11-2020,AB,150300,VND_GEN_1,CC_FIN_118,IT,19841395.76,INR,CapEx - Vehicle ref 54386,Posted,0.0125,248017.44700000004,TRUE
IN03,5100020194,JV120194B,21-09-2023,KA,400200,VND_SALES_D,CC_FIN_565,Sales,19757902.2,INR,Invoice 4940 - Wellness Co services,Reversed,0.0125,246973.7775,TRUE
